Date,Low,High
2017-05-09,2392.439941,2403.870117
2017-05-08,2393.919922,2401.360107
2017-05-05,2389.379883,2399.290039
2017-05-04,2380.350098,2391.429932
2017-05-03,2379.75,2389.820068
2017-05-02,2385.820068,2392.929932
2017-05-01,2384.830078,2394.48999
2017-04-28,2382.360107,2393.679932
2017-04-27,2382.679932,2392.100098
