PublishedAt,Title,description
2017-05-20T04:55:09Z,F.B.I. Once Warned G.O.P. Congressman That Russian Spies Were Recruiting Him,"The 2012 warning to Dana Rohrabacher, an ally of President Trump, shows that the F.B.I. has for years viewed Russian spies as having a hand in Washington."
2017-05-19T08:02:00Z,"Russia probe reaches current White House official, people familiar with the case say","The probe has intensified in recent weeks, and people say more subpoenas and interviews are on the way."
2017-05-19T14:35:00Z,Former FBI director Comey to testify publicly,The fired FBI director agrees to testify in an open session before the Senate Intelligence Committee at a date to be set sometime after Memorial Day.
2017-05-19T17:46:00Z,Trump turmoil is spreading far beyond Washington to state and local races,"“We’re just getting a lot of noise out of Washington,” said one North Carolina GOP consultant."
2017-05-19T09:40:00Z,Analysis | Recapping a stunningly bad two weeks for the Trump White House,A day-by-day breakdown of a remarkable two weeks.
2017-05-19T08:16:00Z,Analysis | Trump’s media firewall is collapsing as the Russia probe gets closer,Trump has been insulated by journalists’ inability to show that the FBI investigation touches him or his White House staff directly. Not anymore.
2017-05-20T08:47:00Z,Trump gets elaborate welcome in Saudi Arabia as he embarks on first foreign trip,"The landing in Riyadh marked the start of a high-stakes, nine-day overseas journey for the president."
2017-05-19T11:56:00Z,An ambitious young prince wants to reimagine Saudi Arabia — and make it fun,"Mohammed bin Salman, son of the king, is pressing for more jobs for women and more opportunities for entertainment in the conservative Middle Eastern nation."
2017-05-20T09:35:00Z,Iranian President Rouhani wins reelection in landslide victory,"In easily winning an election with a near-record turnout, the moderate leader earned a resounding endorsement of his project to end Iran’s pariah status and rejoin the global economy."
2017-05-19T10:25:00Z,Betsy DeVos hits hard reset on student loan servicing contracts,"The Education Department will select one company to collect student debt payments on its behalf, rather than the nine contractors that currently handle the government's $1.2 trillion portfolio of education loans."
2017-05-19T16:59:00Z,Prosecutors are pushing back against Sessions order to pursue most severe penalties,Prosecutors say Sessions's directive “marks an unnecessary and unfortunate return to past 'tough on crime' practices” that will do more harm than good in their communities.
2017-05-20T11:33:36+00:00,Trump in Saudi Arabia: First foreign trip starts as home troubles mount,His first foreign trip starts in Saudi Arabia amid controversy over his sacking of the FBI director.
2017-05-20T09:52:08+00:00,Iran election: Hassan Rouhani wins second term as president,"A huge turnout helped Mr Rouhani, with Tehran registering twice as many votes as in 2013."
2017-05-20T11:53:43+00:00,Pippa Middleton's wedding: Royals and celebrities at ceremony,"The Duchess of Cambridge's sister Pippa marries James Matthews, witnessed by royalty and celebrities."
2017-05-20T10:16:14+00:00,Labour front bench row over Trident commitment,Shadow defence secretary says her colleague was wrong to suggest Trident could be subject to review.
,Election campaign latest,Labour row over Trident and Tories defend migration pledge as campaigning continues.
2017-05-20T00:23:03+00:00,Hunstanton Sea Life Sanctuary's first Humboltd penguin chick in decade,A Humboldt penguin chick has hatched at a sea life sanctuary for the first time in more than a decade.
2017-05-19T23:58:03+00:00,The UK's most delayed airlines revealed,"Icelandair, Air Transat and Norwegian are most likely to arrive late, according to Which? survey"
2017-05-19T22:10:30+00:00,Italy makes 12 vaccinations compulsory for children,The government is trying to combat a huge rise in measles cases as parents shun immunisation.
2017-05-19T23:16:19+00:00,Church of Scotland expected to back same-sex marriage,The General Assembly is asked to approve a study on how same-sex weddings could take place in church.
2017-05-19T23:41:35+00:00,Hillary Clinton tries to avoid 'Donald Trump' hug,Footage emerges of Hillary Clinton rehearsing for a debate with Donald Trump last September.
2017-05-20T11:24:27Z,"Under fire at home, Trump lands in Saudi Arabia",US President Donald Trump lands in Saudi Arabia on the first stop on his maiden international trip since taking office in January.
2017-05-20T05:35:42Z,How much damage could North Korea unleash even without nuclear weapons?,There's been a lot of focus on North Korea's nuclear ambitions. But what can be lost in the discussion is just how powerful the country's military already is.
2017-05-20T07:09:35Z,Assange's mum urges PM to help him get to Ecuador,The mother of WikiLeaks founder Julian Assange calls on the Prime Minister to help her son and take Sweden to task.
2017-05-20T10:32:27Z,Rouhani wins Iran presidential race,"President Hassan Rouhani wins Iran's presidential election, the country's Interior Minister says."
2017-05-20T03:49:06Z,Global warming threatens 'Doomsday Vault',"The world's 'Doomsday' vault may not be exempt from the threats of climate change, after 2016's record global temperatures saw meltwater flood the vaults entrance."
2017-05-20T01:36:27Z,Sacked FBI chief James Comey agrees to testify in Russian meddling probe,"Former FBI director James Comey agrees to testify before the US Senate Intelligence Committee, the committee says in a statement."
2017-05-20T10:26:11Z,'Only Richmond': Social media hammers Tigers after second straight choke,"Social media pillories Richmond after yet another loss in a tight encounter, this time against Greater Western Sydney."
2017-05-20T09:22:51Z,"AFL live: Collingwood v Hawthorn, Brisbane v Adelaide","Saturday night sees Collingwood take on Hawthorn and Brisbane host Adelaide. Follow this and all of the day's scores, stats and streams in our live ScoreCentre."
2017-05-20T09:50:36Z,Older Australians opting for in-home care over nursing homes,"A growing number of older people are receiving care in their own homes, and those providing care say it may be the cheaper option."
2017-05-20T02:35:57Z,Sickly passengers clogging up GP clinics when cruise ships dock,"Cruise ship passengers are clogging up mainland medical waiting rooms and straining local health services as they try to avoid expensive on-board doctors, say Kimberley GPs."
,Rouhani wins Iran’s presidential election,
,The shadow arms bazaar that fuels global cyber crime,
,Trump arrives in Saudi Arabia,
,New Russia claims cloud Trump’s first foreign trip,
,Dollar suffers worst week in year on Trump nerves,
,Trump supporters find allegations hard to believe,
,Discipline and control rules the road with May,
,Pearl Lam on becoming a powerhouse of China’s art world,
,Week of chaos leaves Trump’s party hoping for a break,
,Brazil butcher puts Temer presidency on knife edge,
2017-05-20T07:06:32.586Z,Trump Lands in Saudi Arabia Amid Controversy at Home,"President Donald Trump arrived in Riyadh Saturday morning, the first stop on his inaugural foreign trip as he seeks to escape the controversy engulfing his administration."
2017-05-20T09:34:47.617Z,Victorious Iranian Pragmatist Runs Straight Into Storm Trump,"As Hassan Rouhani was learning of his re-election to Iran’s presidency on Saturday morning, U.S. President Donald Trump had already touched down in Saudi Arabia on Air Force One, bringing proposals for more than $100 billion in arms sales to Tehran’s fiercest rival."
2017-05-20T10:35:49.131Z,Melania Trump Skips Headscarf as She Arrives in Saudi Arabia,"Riyadh, Saudi Arabia (AP) -- Accompanying her husband on his first international trip, U.S. first lady Melania Trump on Saturday stepped off of Air Force One conservatively dressed in long sleeves and pants to conform to the strict dress code that Saudi Arabia enforces for its female citizens. But one thing was missing from her black and gold-belted ensemble: a head scarf."
2017-05-20T04:27:43.7Z,Duterte Says China's Xi Threatened War If He Pushed Sea Dispute,Philippine President Rodrigo Duterte said China threatened to go to war after he asserted the Southeast Asian nation’s sovereignty over disputed territory.
2017-05-20T04:25:02.054Z,"After Times Square Attack, Calls for More Sidewalk Barriers",New York (AP) -- Fears of a terrorist attack prompted officials to ring many of the pedestrian plazas of Times Square with squat steel posts capable of stopping a speeding vehicle.
2017-05-19T21:10:01.912Z,Graduates: Be True Patriots,What matters is how you respond when the founding values are tested.
2017-05-19T21:59:35.044Z,Fighters Escort American Jet After Attempted Cockpit Breach,Fighter jets escorted an American Airlines plane to Honolulu after a passenger attempted to breach the hardened cockpit door.
2017-05-20T04:00:01Z,Why the Rout in Retail Shouldn't Be a Big Worry for U.S. Economy,A furious pace of store closings and bankruptcies has drummed up fears that U.S. retail is collapsing. Not so fast: Many indicators suggest that retail employment is unlikely to shrivel and the economy will withstand any shock from the sector’s rout.
2017-05-19T19:00:00.004Z,Barclays 'Cartel' Trader Ashton Draws $1.2 Million Fine From Fed,"Barclays Plc’s former head of global spot foreign exchange trading was fined $1.2 million and banned from the banking industry for his involvement in rigging currency rates, the Federal Reserve said Friday."
2017-05-19T19:59:45.066Z,"From Deep in Atlantic, Titanic Relics Sail Toward Auction Block","The Titanic may be under 2.5 miles of water, but wreckage from the doomed ship could fetch close to $220 million at an auction this year."
2017-05-18T14:46:06+00:00,The expanding universe of synthetic drugs,"From “legal highs” to fentanyl, there are more drugs on offer than ever before"
2017-05-20T00:00:00+00:00,Israel still occupies Palestinian land 50 years after its six-day war,"Israel has become powerful and rich, but has not found peace with the Palestinians—nor with itself, says Anton La Guardia"
2017-05-18T14:46:06+00:00,The WannaCry attack reveals the risks of a computerised world,The good news is that there are ways to fix things
2017-05-19T04:00:00+00:00,A polarised Iran could struggle to come together after election day,The sound and fury of an election that may change little
2017-05-18T14:46:06+00:00,Australians debate how to avoid shark attacks,Public opinion favours deterrence over culling the fearsome fish
2017-05-18T14:46:06+00:00,The soldier who allegedly plotted to kill Germany’s ex-president,His arrest triggers a search for extremists in the ranks
2017-05-18T14:46:06+00:00,A way to make water potable using carbon dioxide,Let’s hear it for diffusiophoresis
2017-05-19T00:00:00+00:00,Ukraine bans its top social networks because they are Russian,"Blocking websites may be pointless, but it could help President Poroshenko’s popularity"
2017-05-20T00:00:00+00:00,Leaked recordings are trouble for Michel Temer,Newspaper revelations put Brazil’s reforms at risk
2017-05-18T23:35:14+00:00,Why India allows instant divorce,"For Muslim Indian men, breaking up is easy to do"
PublishedAt,Title,description
2017-05-21T09:34:00Z,Trump Urges Muslims to Fight Extremism in Saudi Speech,"President Donald Trump called on Muslim leaders across the globe to confront the “crisis of Islamic extremism,” in a speech aimed at corralling Arab allies around a new, combined effort to combat terrorism and Iranian aggression in the Middle East."
2017-05-22T00:55:00Z,"Taxes, Budget Are Focus for Trump Despite Probes",President Trump’s policy agenda faces tests this week as he looks to shift the focus from Russia investigations to his plans for boosting U.S. military power and revamping the tax code.
2017-05-21T21:56:00Z,"Huntsman, Clariant Near Deal to Merge","Huntsman and Switzerland’s Clariant are near an agreement to merge, an all-stock deal that would create a chemicals giant with a combined market value of about $14 billion."
2017-05-21T11:00:00Z,Arconic Board Vote to Test Power of Activist Investors,The future of Arconic Inc. is up for grabs this week in a tightly fought shareholder vote that will test the growing power of activist investors.
2017-05-21T17:51:00Z,The Quants Run Wall Street Now,"For decades, investors imagined a time when data-driven traders would dominate financial markets. That day has arrived."
2017-05-21T22:31:00Z,Ford Considering Significant Management Changes to Address Stock Price Decline,"Ford is considering significant changes to its senior leadership team amid tension among top executives, dissatisfaction with the stock price and a drive to clarify the auto maker’s strategy."
2017-05-21T09:02:00Z,North Korea Steps Up Pace of Missile Tests,"North Korean leader Kim Jong Un described the results of the country’s successful launch its second ballistic missile in a little more than a week as “perfect,” as Pyongyang increases the pace of its testing in its quest to develop the ability to strike the continental U.S. with a nuclear-tipped weapon."
2017-05-21T11:00:00Z,"Bond Buyers Forgive and Forget, Flock Back to Online Lenders’ Debt","The initial appeal of upstart, online lenders was that they would disrupt traditional loan markets. But after big setbacks last year, the firms are adjusting to be a little more Wall Street and a little less Silicon Valley."
2017-05-21T11:00:00Z,All IT Jobs Are Cybersecurity Jobs Now,The global ‘WannaCry’ ransomware attack that affected computers in 150 countries and the growing threat of new malware illustrate a basic problem that will become more pressing as more of our systems become connected.
2017-05-21T11:00:00Z,Much-Maligned U.S. Infrastructure Shows Signs of Improvement,The Trump administration and congressional Democrats frequently bemoan America’s aging infrastructure and have promised to spending to fix it. Less noisily discussed: The nation is making progress in some key areas of decaying infrastructure.
2017-05-22T01:40:19Z,"Abroad, President Trump's reality collides with candidate Trump's words","Few might have expected that four months into his term President Donald Trump would find himself addressing a room of Muslim leaders after a night surrounded by dancing, drumming Saudi men."
2017-05-22T01:49:40Z,"Trump's new tune on Islam unconvincing, experts say","President Trump's speech Sunday will likely be met with skepticism and frustration in the Muslim world, according to Middle East experts who said his sudden shift in tone on Islam was unconvincing."
2017-05-22T01:10:01Z,Trump's two minds on Islam,President Trump's much-anticipated speech on Islam in Saudi Arabia on Sunday was consistently inconsistent.
