PublishedAt,Title,description
2017-05-21T20:32:22Z,Bergen: The real reason Saudis rolled out the reddest of red carpets,"Trump's visit to Riyadh comes at a critical time for the Saudi government, as it seeks to transform its economy from exclusive oil revenue dependency to one more diversified, writes Peter Bergen."
,Trump called a hypocrite for Saudi King bow - CNN Video,"President Donald Trump was criticized as a hypocrite for seemingly bowing before the Saudi King, an act for which he had criticized then-President Barack Obama for doing back in 2012."
2017-05-21T08:49:54Z,Tillerson holds briefing in Saudi Arabia without US press,Secretary of State Rex Tillerson held a press briefing in Saudi Arabia -- and members of the U.S. press weren't invited.
2017-05-21T01:27:11Z,Roger Stone: Trump's Saudi award 'makes me want to puke',"As President Donald Trump celebrated what he called a ""tremendous"" first day in Saudi Arabia, his onetime campaign adviser and longtime confidante Roger Stone expressed nothing but aversion for the Gulf nation and parts of the President's trip."
2017-05-22T01:29:54Z,Immigrants eye Canada as US deportation fears grow,"As a growing number of Latin American immigrants say they're considering Canada, experts offer words of caution."
2017-05-21T17:53:17Z,Melania Trump gets rave reviews in Saudi press,"First lady Melania Trump's fashion choices got rave reviews in local Saudi Arabian press Sunday, despite forgoing the customary headscarf."
2017-05-22T00:58:57Z,North Korea fires another ballistic missile,"North Korea fired an unidentified ballistic missile, according to the South Korean military's Joint Chiefs of Staff."
2017-05-22T00:47:18Z,"Killing C.I.A. Informants, China Crippled U.S. Spying Operations","At least 18 C.I.A. sources were killed or imprisoned in China between 2010 and 2012, one of the worst intelligence breaches in decades. Investigators still disagree about how it happened."
2017-05-20T22:39:36Z,Trump Told Russians That Firing ‘Nut Job’ Comey Eased Pressure From Investigation,The conversation reinforces the notion that President Trump dismissed him primarily because of the bureau’s investigation into possible collusion between his campaign and Russian operatives.
2017-05-21T21:26:43Z,Pregnant at 18. Hailed by Abortion Foes. Punished by Christian School.,"A high school senior’s story sheds light on a delicate issue: how Christian schools, which advocate abstinence until marriage, treat pregnant teenagers."
2017-05-21T14:48:58Z,Saudis Welcome Trump’s Rebuff of Obama’s Mideast Views,President Trump was received warmly in Riyadh by Saudi leaders who appeared to embrace an American leader intent on supporting Sunni Muslim countries.
2017-05-21T21:28:53Z,"On ‘Saturday Night Live,’ Alec Baldwin Sings a Swan Song for Trump","“S.N.L.” paid homage to itself by having Mr. Baldwin sing Leonard Cohen’s “Hallelujah.” The host, Dwayne Johnson, considered a presidential run with Tom Hanks."
2017-05-22T01:40:53Z,Trump Softens Tone on Islam but Calls for Purge of ‘Foot Soldiers of Evil’,"In a speech in Saudi Arabia, President Trump spoke in measured tones far from his incendiary language last year and called for a renewed fight against terrorism."
2017-05-19T18:10:36Z,"Mississippi Boy, 6, Is Killed After Car Is Stolen From His Mother","The mother had gone into a store and had left the car running with the boy in the back seat, according to local reports."
2017-05-21T05:06:32Z,House Inquiry Turns Attention to Trump Campaign Worker With Russia Ties,"Michael Caputo, who was a communications adviser during the presidential race, has been asked to sit for an interview and to provide documents about his connections to the Kremlin."
2017-05-20T06:10:22Z,$110 Billion Weapons Sale to Saudis Has Jared Kushner’s Personal Touch,"Mr. Kushner called the head of Lockheed Martin while he met with Saudi officials, showing President Trump’s eagerness for a major deal before his first foreign trip."
2017-05-20T23:10:26Z,"Preakness 2017 Picks: Experts’ Predictions to Win, Place and Show",Will Always Dreaming complete the second leg of horse racing’s Triple Crown? Joe Drape and Melissa Hoppert weigh in on the contenders.
2017-05-21T11:54:00Z,Trump to propose big cuts to safety net in new budget this week,The president will deliver his most detailed look at how he wants to change government.
2017-05-21T06:23:00Z,Trump summons Muslim nations to confront ‘Islamic terror of all kinds’,"“We are not here to lecture,” he said in a speech starkly different from the one Obama delivered to the Muslim world in 2009."
2017-05-21T14:50:00Z,Ivanka Trump meets with Saudi women leaders as some activists remain critical,"The president’s daughter brought her message of female empowerment to the world’s most repressive society for females, but some activists questioned the effectiveness of the meeting."
